,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
1,1.171111111111111,0.19055555555555556,74.2,83.4,1403.0555555555557,1.1865128125397497,0.0136986301369863,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.1926315789473685,0.44684210526315793,82.6,88.9,1785.3157894736842,1.2735925369357752,0.09722222222222222,0.013888888888888888,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.3238095238095238,0.6719047619047619,77.7,88.0,1736.3333333333333,1.4845631224030498,0.0963855421686747,0.012048192771084338,0.012048192771084338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.1758064516129034,0.5393548387096774,75.5,81.1,1925.0645161290322,1.2936090807094967,0.07194244604316546,0.03597122302158273,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.154264705882353,0.7488235294117648,84.5,83.6,1561.5588235294117,1.375886510380259,0.030042918454935622,0.004291845493562232,0.017167381974248927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.4591333333333334,0.9616,78.6,82.1,2229.786666666667,1.747496679380091,0.07017543859649122,0.03508771929824561,0.006578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.9030128205128205,0.9641025641025641,81.4,81.4,1904.4551282051282,1.3209564368743043,0.059282371294851796,0.015600624024960999,0.0031201248049922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.42459627329192545,0.07689440993788821,84.1,86.1,2104.490683229814,0.43150289173201084,0.0916030534351145,0.019083969465648856,0.013358778625954198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.1744117647058823,0.5647058823529412,79.1,87.4,1882.4411764705883,1.3031253687361006,0.09558823529411764,0.03676470588235294,0.007352941176470588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.9710769230769231,0.7578461538461538,84.1,87.9,1726.6923076923076,1.231795917931194,0.046218487394957986,0.008403361344537815,0.008403361344537815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.227979797979798,0.2533333333333333,82.2,88.2,1652.6464646464647,1.253838969734265,0.05802047781569966,0.027303754266211604,0.006825938566552901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.8593805309734514,0.4428318584070796,79.9,81.9,2171.5309734513276,0.9667651999510941,0.08469945355191257,0.01912568306010929,0.00546448087431694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.0202272727272728,0.17363636363636362,84.0,79.7,1382.8181818181818,1.0348977122370058,0.02857142857142857,0.005714285714285714,0.005714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.0561538461538462,0.5546153846153846,85.0,87.0,1447.2307692307693,1.1929204380836274,0.1559633027522936,0.027522935779816515,0.009174311926605505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.8927848101265823,0.9455696202531646,82.4,82.7,1478.5443037974683,1.3004486241057243,0.04792332268370607,0.019169329073482427,0.009584664536741214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.305,0.5539583333333333,81.1,87.2,1837.2083333333333,1.4177075985792855,0.05970149253731343,0.004975124378109453,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.0918518518518519,0.7874074074074074,80.9,88.5,1748.888888888889,1.3461615399469609,0.04854368932038835,0.009708737864077669,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.361063829787234,0.5514893617021277,80.4,86.8,1959.1702127659576,1.4685486933791854,0.05555555555555555,0.018518518518518517,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.2144642857142858,0.35214285714285715,79.0,83.9,1652.3035714285713,1.264487284677962,0.023166023166023165,0.007722007722007722,0.015444015444015444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.751030303030303,0.20393939393939392,83.4,85.9,1356.2060606060606,0.7782273398372459,0.06097560975609756,0.024390243902439025,0.008130081300813009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.165925925925926,0.6799999999999999,81.6,86.1,1545.7777777777778,1.349734516394327,0.059322033898305086,0.00847457627118644,0.01694915254237288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.1145652173913043,0.5126086956521739,86.9,82.7,1693.9782608695652,1.2267939104335122,0.07194244604316546,0.014388489208633094,0.02158273381294964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.478721804511278,0.5765413533834587,82.7,79.7,1979.6842105263158,1.5871414893758906,0.04148471615720524,0.006550218340611353,0.002183406113537118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.2078217821782178,1.0456435643564357,79.6,83.5,2041.6534653465346,1.5975618677172405,0.04878048780487805,0.02981029810298103,0.005420054200542005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.128076923076923,0.35628205128205126,84.3,79.5,1268.974358974359,1.1830023011154476,0.0661764705882353,0.011029411764705883,0.014705882352941176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
